DATE,RBKRBIS
1994-01-01,116.91
1994-02-01,116.33
1994-03-01,116.46
1994-04-01,115.6
1994-05-01,115.1
1994-06-01,114.96
1994-07-01,114.03
1994-08-01,114.54
1994-09-01,113.22
1994-10-01,112.23
1994-11-01,112.62
1994-12-01,114.41
1995-01-01,114.74
1995-02-01,114.16
1995-03-01,113.39
1995-04-01,111.98
1995-05-01,113.22
1995-06-01,112.42
1995-07-01,114.18
1995-08-01,116.75
1995-09-01,118.68
1995-10-01,118.2
1995-11-01,118.08
1995-12-01,118.97
1996-01-01,118.33
1996-02-01,119.47
1996-03-01,119.81
1996-04-01,120.58
1996-05-01,121.1
1996-06-01,119.02
1996-07-01,117.35
1996-08-01,116.37
1996-09-01,116.02
1996-10-01,115.75
1996-11-01,114.92
1996-12-01,114.51
1997-01-01,114.92
1997-02-01,115.39
1997-03-01,114.24
1997-04-01,113.05
1997-05-01,111.7
1997-06-01,111.55
1997-07-01,112.91
1997-08-01,114.76
1997-09-01,113.66
1997-10-01,111.9
1997-11-01,101.88
1997-12-01,73.4
1998-01-01,68.06
1998-02-01,70.91
1998-03-01,77.35
1998-04-01,83.17
1998-05-01,82.63
1998-06-01,84.17
1998-07-01,91.25
1998-08-01,90.9
1998-09-01,84.74
1998-10-01,83.63
1998-11-01,86.62
1998-12-01,91.7
1999-01-01,94.25
1999-02-01,94.91
1999-03-01,92.99
1999-04-01,94.49
1999-05-01,95.43
1999-06-01,97.43
1999-07-01,95.4
1999-08-01,94.05
1999-09-01,92.79
1999-10-01,92.36
1999-11-01,94.82
1999-12-01,97.81
2000-01-01,98.75
2000-02-01,100.25
2000-03-01,101.67
2000-04-01,101.89
2000-05-01,102.23
2000-06-01,101.7
2000-07-01,103.02
2000-08-01,104.07
2000-09-01,105.43
2000-10-01,105.15
2000-11-01,102.18
2000-12-01,97.43
2001-01-01,93.66
2001-02-01,95.97
2001-03-01,95.3
2001-04-01,93.74
2001-05-01,95.58
2001-06-01,96.77
2001-07-01,97.0
2001-08-01,97.15
2001-09-01,95.42
2001-10-01,95.64
2001-11-01,97.23
2001-12-01,97.78
2002-01-01,97.03
2002-02-01,97.34
2002-03-01,97.03
2002-04-01,97.46
2002-05-01,100.86
2002-06-01,102.79
2002-07-01,104.09
2002-08-01,103.97
2002-09-01,103.63
2002-10-01,101.51
2002-11-01,102.86
2002-12-01,103.05
2003-01-01,104.27
2003-02-01,103.2
2003-03-01,100.18
2003-04-01,100.08
2003-05-01,100.57
2003-06-01,101.0
2003-07-01,102.77
2003-08-01,103.71
2003-09-01,104.41
2003-10-01,102.04
2003-11-01,99.99
2003-12-01,98.48
2004-01-01,98.38
2004-02-01,100.02
2004-03-01,101.76
2004-04-01,102.73
2004-05-01,101.63
2004-06-01,102.47
2004-07-01,102.74
2004-08-01,104.01
2004-09-01,104.23
2004-10-01,103.59
2004-11-01,106.06
2004-12-01,108.79
2005-01-01,111.43
2005-02-01,113.21
2005-03-01,115.04
2005-04-01,115.57
2005-05-01,116.57
2005-06-01,116.79
2005-07-01,115.05
2005-08-01,115.62
2005-09-01,114.86
2005-10-01,113.89
2005-11-01,115.43
2005-12-01,117.34
2006-01-01,120.57
2006-02-01,122.81
2006-03-01,122.61
2006-04-01,124.12
2006-05-01,123.18
2006-06-01,122.69
2006-07-01,123.6
2006-08-01,122.15
2006-09-01,123.81
2006-10-01,123.64
2006-11-01,124.04
2006-12-01,124.1
2007-01-01,123.7
2007-02-01,123.64
2007-03-01,122.25
2007-04-01,123.17
2007-05-01,123.26
2007-06-01,123.26
2007-07-01,123.35
2007-08-01,120.53
2007-09-01,120.36
2007-10-01,120.67
2007-11-01,117.5
2007-12-01,116.34
2008-01-01,113.31
2008-02-01,111.67
2008-03-01,105.58
2008-04-01,104.57
2008-05-01,100.55
2008-06-01,101.35
2008-07-01,102.54
2008-08-01,101.53
2008-09-01,94.81
2008-10-01,83.11
2008-11-01,79.8
2008-12-01,80.21
2009-01-01,81.42
2009-02-01,78.65
2009-03-01,79.09
2009-04-01,85.47
2009-05-01,89.29
2009-06-01,87.83
2009-07-01,87.73
2009-08-01,88.88
2009-09-01,89.59
2009-10-01,91.45
2009-11-01,91.83
2009-12-01,92.31
2010-01-01,95.44
2010-02-01,94.46
2010-03-01,96.06
2010-04-01,98.33
2010-05-01,95.44
2010-06-01,92.16
2010-07-01,91.31
2010-08-01,92.55
2010-09-01,93.69
2010-10-01,94.16
2010-11-01,93.02
2010-12-01,92.57
2011-01-01,94.71
2011-02-01,94.38
2011-03-01,93.48
2011-04-01,95.4
2011-05-01,95.03
2011-06-01,95.25
2011-07-01,97.25
2011-08-01,95.67
2011-09-01,92.73
2011-10-01,90.39
2011-11-01,92.28
2011-12-01,91.96
2012-01-01,92.1
2012-02-01,93.02
2012-03-01,93.19
2012-04-01,92.15
2012-05-01,91.4
2012-06-01,91.84
2012-07-01,93.45
2012-08-01,93.89
2012-09-01,93.84
2012-10-01,94.73
2012-11-01,96.56
2012-12-01,97.41
2013-01-01,99.19
2013-02-01,97.71
2013-03-01,97.1
2013-04-01,95.39
2013-05-01,96.67
2013-06-01,94.33
2013-07-01,95.95
2013-08-01,96.65
2013-09-01,99.28
2013-10-01,99.45
2013-11-01,100.6
2013-12-01,101.57
2014-01-01,101.21
2014-02-01,100.72
2014-03-01,100.99
2014-04-01,103.54
2014-05-01,105.25
2014-06-01,105.88
2014-07-01,105.59
2014-08-01,105.72
2014-09-01,105.47
2014-10-01,103.31
2014-11-01,101.27
2014-12-01,102.46
2015-01-01,106.12
2015-02-01,105.01
2015-03-01,105.01
2015-04-01,106.91
2015-05-01,105.68
2015-06-01,104.3
2015-07-01,102.14
2015-08-01,100.6
2015-09-01,100.06
2015-10-01,103.13
2015-11-01,103.48
2015-12-01,102.33
2016-01-01,101.19
2016-02-01,98.68
2016-03-01,100.07
2016-04-01,102.08
2016-05-01,100.21
2016-06-01,100.81
2016-07-01,103.35
2016-08-01,105.59
2016-09-01,106.3
2016-10-01,105.55
2016-11-01,103.92
2016-12-01,103.84
2017-01-01,104.51
2017-02-01,107.29
2017-03-01,108.05
2017-04-01,107.05
2017-05-01,107.46
2017-06-01,105.74
2017-07-01,105.17
2017-08-01,104.31
2017-09-01,103.16
2017-10-01,104.0
2017-11-01,106.07
2017-12-01,107.43
2018-01-01,107.28
2018-02-01,104.95
2018-03-01,105.8
2018-04-01,106.44
2018-05-01,107.5
2018-06-01,106.58
2018-07-01,105.19
2018-08-01,107.14
2018-09-01,107.94
2018-10-01,107.07
2018-11-01,107.28
2018-12-01,106.93
2019-01-01,105.82
2019-02-01,105.32
2019-03-01,104.23
2019-04-01,103.56
2019-05-01,100.91
2019-06-01,101.34
2019-07-01,100.38
2019-08-01,98.9
2019-09-01,100.66
2019-10-01,101.1
2019-11-01,101.31
2019-12-01,100.65
2020-01-01,100.73
2020-02-01,99.06
2020-03-01,98.34
2020-04-01,99.11
2020-05-01,98.58
2020-06-01,99.21
2020-07-01,98.67
2020-08-01,98.98
2020-09-01,99.55
2020-10-01,101.41
2020-11-01,102.98
2020-12-01,103.37
2021-01-01,102.75
2021-02-01,101.65
2021-03-01,101.43
2021-04-01,102.74
2021-05-01,101.15
2021-06-01,101.2
2021-07-01,100.04
2021-08-01,99.04
2021-09-01,98.01
2021-10-01,97.32
2021-11-01,97.59
2021-12-01,97.89
2022-01-01,97.14
2022-02-01,96.58
2022-03-01,95.81
2022-04-01,96.01
2022-05-01,96.14
2022-06-01,95.77
2022-07-01,95.14
2022-08-01,94.14
2022-09-01,91.22
2022-10-01,90.65
2022-11-01,93.82
2022-12-01,96.11
2023-01-01,98.31
2023-02-01,96.35
2023-03-01,94.83
2023-04-01,93.15
2023-05-01,94.07
2023-06-01,97.43
2023-07-01,98.07
2023-08-01,96.76
2023-09-01,97.24
2023-10-01,96.89
2023-11-01,98.71
2023-12-01,97.52
2024-01-01,96.59
2024-02-01,96.59
2024-03-01,96.75
2024-04-01,95.01
2024-05-01,95.16
2024-06-01,94.22
2024-07-01,93.82
2024-08-01,94.28
2024-09-01,94.78
